ID;ILLUM;HUMID;CO2;SOUND;TEMP;RYTHM
188;551.48;60.91;442.8;47.35;19.69;88.36
189;271.47;67.74;537.07;23.71;19.1;72.98
190;329.77;67.01;460.05;21.06;21.79;73.68
191;299.82;64.58;513.58;29.86;19.36;80.1
192;329.45;65.97;515.26;25.92;19.43;76.74
193;454.14;62.85;462.91;34.62;19.72;80.54
194;385.21;59.98;462.61;29.16;20.51;76.33
195;343.07;58.84;489.74;39.69;21.38;78.27
196;517.15;74.85;438.27;22.63;20.52;59.29
197;403.97;61.96;431.42;33.16;19.61;79.16
198;317.74;66.85;552.67;23.47;21.03;82.75
199;365.17;64.79;525.87;19.3;20.94;76.67
200;583.61;67.19;487.96;33.5;19.5;96.19
201;442.06;61.05;472.33;24.09;18.0;65.85
202;548.54;65.06;463.79;33.72;17.47;84.9
203;422.95;68.75;435.36;32.4;18.94;78.62
204;461.69;68.83;489.93;24.4;20.38;76.04
205;536.25;64.83;531.74;26.05;19.59;92.5
206;389.13;64.17;498.82;28.6;20.59;91.28
207;477.71;69.83;523.11;26.48;19.46;89.21
208;402.35;70.92;509.22;30.64;19.46;96.28
209;276.28;61.33;521.92;28.74;21.21;91.93
210;502.04;71.58;514.04;29.43;22.47;83.11
211;321.15;68.78;512.01;36.55;20.4;81.06
212;388.67;64.82;526.9;28.24;20.12;89.7
213;283.83;65.97;508.44;34.72;19.56;77.54
214;246.64;64.06;535.49;25.2;20.41;83.51
215;620.36;71.29;489.8;21.75;21.48;86.28
216;463.14;66.93;495.55;24.5;16.12;75.76
217;512.2;76.11;481.08;24.72;17.2;82.7
218;569.01;61.33;419.0;31.35;19.98;77.95
219;312.2;63.66;428.32;29.58;22.21;70.95
220;527.86;60.91;479.11;34.79;19.73;84.27
221;495.19;69.7;475.55;38.58;22.77;94.77
222;424.95;64.42;459.71;42.25;19.55;91.12
223;363.57;56.53;472.24;38.29;22.42;80.89
224;473.44;66.24;437.47;29.78;18.61;73.2
225;431.2;70.38;468.07;23.86;18.1;75.25
226;455.07;65.75;432.06;30.78;21.96;80.09
227;468.62;70.87;516.87;28.03;18.71;80.01
228;337.88;64.5;488.48;37.86;20.67;81.11
229;477.29;75.51;481.78;22.9;20.74;76.45
230;362.91;71.16;536.95;24.24;22.84;86.06
231;561.3;69.03;453.26;26.07;19.48;87.0
232;388.35;67.32;435.41;24.54;21.15;69.8
233;431.69;67.29;502.6;38.18;16.29;67.35
234;500.08;69.09;478.61;26.99;21.95;72.77
235;486.42;64.98;530.83;36.05;19.76;79.88
236;517.22;64.95;500.29;28.51;20.56;76.84
237;523.81;73.17;464.06;21.99;18.31;65.87
238;508.46;61.96;481.38;23.34;21.46;79.28
239;379.71;63.44;533.74;29.68;19.65;69.1
240;402.45;62.19;458.91;34.87;17.39;75.75
241;360.3;64.71;569.85;23.52;21.66;80.76
242;476.2;73.36;471.88;27.14;19.95;86.08
243;362.83;65.11;591.45;27.08;20.35;78.0
244;445.46;62.08;465.2;44.18;20.29;70.36
245;495.12;76.97;524.62;22.93;17.06;83.28
246;268.55;69.05;602.76;31.08;17.24;81.76
247;296.81;69.19;497.65;24.4;21.52;79.09
248;446.94;65.8;520.57;36.56;20.64;82.33
249;472.17;65.01;461.07;26.53;19.73;82.09
250;368.34;66.65;507.5;33.61;18.98;83.9
251;385.85;69.76;500.56;29.11;20.75;76.15
252;538.3;66.13;438.76;42.66;18.63;84.86
253;428.55;74.3;549.66;31.6;17.54;87.17
254;552.44;67.87;486.85;32.38;20.03;73.11
255;440.75;78.1;531.8;23.9;19.72;79.03
256;418.04;62.94;534.85;34.38;22.21;94.06
257;449.77;62.29;425.62;31.09;22.94;77.69
258;392.08;64.94;553.28;29.75;19.8;82.27
259;566.25;66.53;574.39;25.49;17.8;86.99
260;386.88;62.89;496.71;25.85;19.49;77.97
261;537.75;78.03;534.22;20.34;19.02;79.35
262;421.62;65.96;576.25;34.69;19.51;81.43
263;450.8;72.32;471.35;23.72;17.59;67.46
264;378.56;66.21;468.26;12.61;20.92;78.86
265;337.06;59.75;491.28;23.99;18.03;76.11
266;475.92;70.03;465.17;20.74;20.5;74.36
267;247.88;68.66;476.33;19.43;22.98;75.36
268;520.14;67.22;473.93;33.49;18.37;82.35
269;317.07;67.86;582.65;24.02;18.41;77.72
270;244.09;71.03;476.49;34.77;21.34;75.87
271;291.32;59.87;552.72;42.61;20.95;75.12
272;484.23;63.38;556.98;33.89;18.08;72.67
273;493.8;68.66;504.55;29.75;19.35;84.02
274;415.89;66.97;503.25;34.93;20.98;83.02
275;373.67;67.16;475.92;26.75;20.69;76.3
276;423.17;71.69;596.26;18.22;17.68;76.99
277;316.49;64.02;473.36;29.6;19.9;84.15
278;578.53;69.22;494.94;30.42;19.86;88.41
279;475.67;63.17;585.02;28.27;21.18;88.79
280;506.43;67.07;493.26;32.3;20.52;75.74
281;463.82;64.52;486.7;26.8;16.41;62.86
282;398.12;61.73;484.83;22.99;18.58;79.7
283;437.41;74.83;549.93;29.37;20.34;86.23
284;235.42;57.36;473.85;30.03;23.57;91.51
285;418.22;61.94;500.05;31.65;19.38;87.38
286;441.22;68.35;473.8;23.7;18.1;70.7
287;577.74;72.55;467.13;33.42;18.39;75.78
288;545.16;77.45;433.36;28.55;20.59;71.41
289;397.06;66.39;477.2;22.73;21.25;84.79
290;553.86;64.2;525.01;24.54;22.71;85.51
291;507.58;66.33;469.38;35.73;17.68;81.78
292;316.24;66.9;451.53;25.73;20.24;86.25
293;456.38;64.74;467.41;28.9;20.54;85.23
294;497.81;71.15;499.8;23.69;20.41;74.92
295;385.52;64.03;584.65;30.91;20.13;83.7
296;480.65;69.83;464.82;26.19;19.74;84.13
297;499.28;66.88;501.0;36.16;17.39;67.34
298;374.59;66.6;574.64;28.51;19.07;80.54
299;457.26;63.95;432.59;32.96;21.58;76.21
300;412.97;67.71;557.96;33.25;17.81;70.11
301;377.25;72.73;471.47;24.08;19.34;76.09
302;535.36;66.79;482.74;22.07;20.16;88.39
303;414.99;66.97;558.91;28.13;21.79;85.57
304;593.23;76.62;490.67;31.32;18.72;80.58
305;512.04;66.71;431.16;33.39;21.52;93.11
306;454.3;63.33;491.43;28.1;17.66;77.58
307;521.01;69.36;473.78;31.01;15.95;75.17
308;413.24;60.29;485.98;34.71;20.75;84.57
309;474.2;60.97;440.65;30.01;18.72;79.59
310;324.99;65.16;465.33;19.26;19.74;71.56
311;391.76;59.95;474.96;36.83;19.28;77.89
312;302.46;64.91;552.02;18.34;21.37;72.33
313;430.6;67.62;470.38;25.26;18.22;69.79
314;521.06;63.26;448.46;34.41;20.27;83.43
315;464.89;62.69;521.7;28.84;16.37;73.43
316;469.79;69.69;531.63;15.04;15.79;67.92
317;549.47;74.67;558.83;23.11;18.89;79.56
318;542.25;63.82;500.42;26.62;19.93;83.73
319;349.73;72.24;490.13;19.72;18.85;79.01
320;534.15;55.86;480.85;40.63;22.32;81.91
321;457.64;61.79;474.31;36.85;20.55;84.79
322;356.04;72.21;507.14;17.65;21.44;67.32
323;256.44;60.74;438.1;37.76;18.23;78.45
324;405.84;65.69;505.66;25.11;22.18;88.22
325;444.46;67.75;507.33;30.82;20.21;73.39
326;352.73;66.7;501.32;31.17;16.83;77.82
327;388.68;70.84;536.04;23.02;21.23;84.45
328;444.57;64.9;468.5;25.43;19.01;70.0
329;374.18;64.22;539.22;34.97;19.86;74.83
330;519.66;67.92;489.46;25.07;19.53;80.23
331;354.92;75.06;437.1;19.95;22.63;81.22
332;506.79;71.63;507.59;27.29;20.34;84.01
333;520.0;63.48;485.58;31.34;21.63;77.97
334;229.64;62.74;461.61;32.24;16.8;64.58
335;382.36;67.61;513.1;22.19;19.53;81.32
336;360.23;63.56;458.32;25.52;16.72;79.82
337;442.57;78.9;513.87;28.07;17.73;75.22
338;468.94;76.62;501.69;27.79;21.32;80.37
339;341.95;63.63;447.73;27.95;18.38;64.3
340;468.83;61.07;497.23;32.45;19.65;75.62
341;386.87;68.58;500.52;23.25;21.64;83.37
342;443.18;70.4;551.81;26.92;20.85;96.47
343;548.11;57.95;463.93;39.33;20.19;79.79
344;523.09;59.95;458.98;30.79;22.55;83.77
345;466.55;60.45;482.48;20.7;20.73;77.02
346;372.75;64.33;561.75;18.0;17.66;73.58
347;427.86;71.77;477.05;18.79;19.26;67.41
348;490.03;72.02;510.79;35.5;23.36;84.61
349;490.53;67.87;449.14;28.14;16.62;69.8
350;352.46;65.76;457.75;25.73;20.08;72.08
351;428.0;68.01;554.31;32.68;21.23;89.39
352;379.95;63.7;471.39;28.22;19.58;81.75
353;452.9;58.68;578.94;40.04;22.03;93.27
354;416.07;67.15;473.0;40.96;19.83;81.63
355;311.5;65.24;547.57;32.25;20.64;78.85
356;365.55;63.6;490.53;25.67;21.87;82.03
357;261.55;74.08;519.43;15.34;20.8;70.8
358;381.93;54.79;432.25;28.33;17.64;67.52
359;475.69;74.18;546.82;22.44;18.02;82.35
360;444.66;72.26;457.96;30.75;20.91;70.92
361;302.77;75.93;552.08;16.85;21.55;83.2
362;314.33;62.63;466.34;21.02;22.24;66.49
363;646.83;63.79;546.45;39.6;18.66;89.97
364;448.06;59.02;484.03;28.22;18.53;75.11
365;580.12;63.62;539.04;21.51;23.64;90.86
366;472.27;73.49;574.74;25.24;21.37;95.38
367;334.49;73.15;458.63;23.43;19.21;72.45
368;456.02;63.65;555.57;30.34;20.79;81.94
369;541.71;62.84;512.39;31.39;19.37;83.88
370;428.95;72.12;542.46;30.28;20.56;75.42
371;505.25;63.84;404.9;39.06;19.6;64.4
372;516.61;73.65;618.61;27.66;20.24;80.44
373;484.31;65.0;494.32;26.69;22.47;71.13
374;433.82;57.12;434.46;33.29;20.18;82.43
375;646.03;69.07;493.34;26.33;16.65;76.08
376;541.7;56.25;467.46;34.37;18.09;75.56
377;304.58;63.81;520.07;32.5;20.75;79.28
378;301.47;60.21;473.44;39.62;18.05;79.65
379;375.79;66.06;450.65;27.19;21.3;86.89
380;511.93;68.41;455.09;25.55;21.78;88.81
381;415.14;69.39;524.1;37.99;18.39;74.28
382;334.62;64.66;546.18;40.66;20.52;84.67
383;523.92;65.88;485.7;25.06;20.06;79.63
384;430.6;60.81;492.12;44.46;21.95;84.54
385;442.27;74.12;529.23;34.87;20.04;91.73
386;509.21;76.38;534.01;27.31;15.51;62.27
387;440.44;67.15;481.64;31.35;19.23;69.68
388;500.31;64.41;511.78;40.36;20.69;85.56
389;462.01;63.26;477.96;29.62;20.47;74.22
390;461.02;63.83;498.01;39.03;21.25;79.09
391;454.01;70.75;499.41;28.98;18.46;85.25
392;420.42;64.5;509.72;44.35;18.26;87.71
393;292.05;68.61;514.39;31.48;20.82;75.61
394;559.67;66.18;441.11;44.05;17.68;84.54
395;411.33;71.3;538.43;29.89;19.11;81.18
396;360.54;66.56;501.03;36.61;19.9;82.06
397;386.98;68.54;580.9;34.28;20.46;88.31
398;359.94;68.16;551.78;31.3;17.36;82.73
399;450.87;72.73;516.04;31.16;21.5;85.64
400;369.78;61.83;417.22;37.19;20.79;86.37
401;615.88;58.57;477.3;38.4;18.97;72.7
402;450.32;78.36;482.28;25.97;20.25;88.46
403;416.03;63.79;593.32;37.05;19.67;94.15
404;580.31;67.47;445.47;25.66;19.33;86.83
405;513.18;67.62;492.13;22.55;18.88;80.13
406;348.18;69.72;505.15;27.06;19.97;59.22
407;474.35;64.98;485.7;31.51;22.61;87.58
408;622.37;70.34;502.36;37.75;20.57;84.46
409;471.64;69.46;506.27;34.67;20.25;83.09
410;364.51;67.59;586.39;32.28;21.35;79.85
411;559.8;70.91;519.04;34.48;19.7;82.96
412;530.68;63.8;413.07;35.84;21.67;76.35
413;491.19;73.91;564.98;35.52;21.61;96.15
414;324.28;69.58;470.69;25.4;19.48;80.53
415;525.44;74.52;489.2;17.88;17.28;72.03
416;477.17;66.78;422.36;15.05;21.89;84.24
417;363.34;64.77;473.56;27.3;20.17;84.11
418;430.46;67.38;450.41;22.4;23.23;91.2
419;484.21;58.7;489.24;25.72;19.28;89.69
420;568.95;59.15;499.09;36.24;19.73;82.55
421;507.57;59.53;427.61;36.95;21.35;80.71
422;377.56;69.58;516.33;39.77;20.52;82.04
423;368.17;66.82;454.94;28.55;22.82;81.11
424;330.63;68.06;473.36;24.35;20.8;74.47
425;546.44;67.78;528.61;30.47;22.55;83.09
426;568.5;64.58;443.82;36.06;20.71;74.19
427;504.12;64.77;460.88;35.63;23.62;80.21
428;544.83;68.52;574.37;23.67;20.53;89.07
429;449.98;61.22;430.23;38.55;22.96;86.18
430;427.75;73.11;513.38;25.82;19.4;75.64
431;376.07;70.44;450.61;34.94;18.18;71.14
432;531.9;60.47;470.93;36.63;21.84;88.56
433;203.97;66.1;522.49;31.62;21.06;83.97
434;602.21;68.8;523.7;25.18;22.04;76.04
435;604.27;62.41;501.62;36.99;19.76;84.8
436;400.52;66.94;561.22;38.94;22.16;86.77
437;550.54;78.42;528.97;20.14;18.91;76.96
438;488.7;66.41;513.32;40.64;20.24;83.51
439;584.21;61.39;503.21;21.51;23.04;79.34
440;558.79;60.42;511.87;31.29;19.18;78.84
441;398.5;65.79;490.0;35.03;20.62;91.66
442;555.21;71.19;398.11;36.06;18.88;69.61
443;497.06;65.65;540.93;29.03;19.42;75.07
444;410.07;63.22;489.3;29.72;20.15;75.92
445;331.85;69.6;569.01;24.47;18.26;82.19
446;450.2;59.81;480.71;31.37;23.43;83.8
447;528.91;62.45;465.69;24.96;21.02;80.12
448;319.78;70.88;456.54;29.86;18.69;71.04
449;452.09;63.17;501.36;25.05;21.46;77.06
450;480.5;78.38;521.3;24.14;20.33;70.67
451;585.03;74.8;514.3;14.46;18.22;71.4
452;249.69;66.35;473.06;21.93;22.71;75.1
453;497.59;70.97;496.72;43.7;19.68;88.41
454;618.96;61.73;377.12;29.19;18.92;75.4
455;504.32;69.93;529.11;30.66;19.23;75.9
456;479.82;71.27;510.15;31.81;21.51;85.39
457;374.76;72.15;503.05;28.54;18.04;71.76
458;327.22;66.2;530.66;24.88;21.4;82.43
459;489.18;71.62;540.45;21.79;18.03;83.68
460;430.21;70.82;514.2;23.96;20.75;80.43
461;445.63;67.89;473.67;28.74;18.35;84.92
462;572.59;71.07;398.21;27.86;21.65;73.69
463;382.63;77.34;582.46;16.76;18.66;86.62
464;433.72;68.95;438.27;32.47;19.82;70.91
465;487.65;69.39;444.93;37.66;18.61;77.0
466;237.42;74.04;504.61;26.54;21.58;81.24
467;500.17;71.14;504.82;28.59;18.38;72.11
468;425.9;66.15;467.58;29.73;21.84;75.85
469;479.29;68.39;529.71;24.76;20.65;80.39
470;261.78;68.83;515.8;27.24;22.7;88.24
471;427.81;63.77;481.49;35.39;23.48;83.52
472;347.49;67.36;466.72;28.63;21.2;66.71
473;402.16;61.22;532.91;31.77;18.38;82.98
474;555.65;67.96;476.73;27.12;20.55;81.75
475;431.94;66.32;557.95;12.65;19.19;72.83
476;399.91;58.62;453.74;29.41;16.92;80.92
477;516.16;64.75;579.33;26.31;20.05;80.32
478;329.27;72.04;509.47;23.15;20.26;79.58
479;373.55;68.99;563.07;33.6;19.18;80.57
480;501.89;67.97;464.53;38.41;17.94;72.55
481;483.48;71.38;477.83;27.88;21.03;88.71
482;424.96;68.63;474.07;32.74;18.61;83.22
483;343.98;66.17;501.38;29.48;22.02;79.73
484;395.39;69.93;494.77;27.08;21.11;78.16
485;381.88;63.07;489.36;32.63;19.39;84.82
486;463.41;63.77;427.48;30.82;21.1;78.08
487;337.84;64.71;462.92;17.96;20.56;72.46
488;487.18;68.3;518.28;36.27;18.81;81.97
489;369.4;73.69;510.36;21.21;19.85;81.7
490;447.6;68.12;535.9;19.41;20.9;76.51
491;306.33;64.99;505.36;29.03;23.56;87.17
492;491.7;64.93;386.87;30.44;21.01;71.19
493;363.96;65.66;505.82;37.33;18.14;81.29
494;357.12;71.26;529.75;22.75;18.76;87.54
495;361.67;63.71;508.58;28.4;21.21;66.14
496;578.23;63.76;428.22;26.79;20.9;84.71
497;349.04;60.54;516.35;32.02;22.78;76.32
498;564.59;67.19;517.24;28.99;19.55;85.92
499;506.51;62.05;499.52;23.3;20.77;75.5
500;493.64;72.68;594.61;32.57;20.52;88.06
501;412.35;73.31;470.24;26.79;19.22;69.26
502;371.12;73.9;590.36;29.18;18.7;80.71
503;502.07;68.41;543.88;36.85;19.76;88.86
504;404.91;69.23;462.35;18.7;20.66;73.73
505;607.97;70.2;438.37;29.5;16.91;88.36
506;469.06;71.82;552.19;27.82;20.28;79.73
507;450.64;62.28;470.26;29.9;18.89;88.8
508;374.41;63.29;503.2;38.15;19.85;78.15
509;425.32;74.66;509.36;17.34;18.03;81.24
510;559.36;72.51;486.88;23.82;19.96;73.07
511;426.96;63.09;479.36;26.13;21.77;75.44
512;610.8;69.76;525.59;32.46;19.81;91.45
513;581.64;67.59;494.52;37.52;22.89;89.01
514;520.87;71.46;546.95;27.35;15.98;78.19
515;477.61;61.46;496.59;27.22;19.06;86.54
516;510.4;64.34;530.04;43.04;16.63;81.01
517;423.52;69.17;564.74;17.81;18.61;73.26
518;422.32;62.74;476.96;23.88;20.37;73.86
519;365.7;60.93;507.42;22.72;19.0;77.9
520;470.19;68.03;511.87;27.64;19.15;76.17
521;464.15;76.01;543.7;26.74;22.95;77.65
522;376.31;62.69;518.48;22.6;19.24;77.79
523;569.38;60.14;472.34;40.86;15.76;67.7
524;600.26;72.98;491.34;32.35;20.46;87.54
525;329.0;75.61;543.97;27.27;17.79;71.96
526;459.48;66.03;573.55;30.47;17.25;84.01
527;496.03;63.68;440.02;30.93;21.05;80.02
528;398.48;65.5;438.31;36.62;21.57;74.16
529;390.02;69.56;509.57;19.5;19.69;85.41
530;435.99;66.87;516.85;17.86;22.33;81.21
531;544.99;71.27;500.95;33.71;21.2;82.58
532;463.49;70.82;498.12;35.84;19.88;84.47
533;528.25;66.68;484.06;29.32;17.9;83.7
534;427.13;63.95;434.29;41.94;20.34;75.91
535;501.43;63.46;454.14;34.97;20.36;78.85
